Station,date,Sample Type,Field Specific Conductivity,Date,Parameter,Units,Qualifier,Result
I01-11343-2 (I02P18),8/23/2022,Total,4543,2022-08-23,d12-Chrysene,ng/L,NA,95
L01-340-1,8/24/2022,Total,1798.6,2022-08-24,d12-Chrysene,ng/L,NA,78
L01-404-1,8/24/2022,Total,2033.4,2022-08-24,d12-Chrysene,ng/L,NA,81
L02-246-1 (L11P01),8/25/2022,Total,2323,2022-08-25,d12-Chrysene,ng/L,NA,67
L02-641-1,8/25/2022,Total,1807,2022-08-25,d12-Chrysene,ng/L,NA,77
L02-641-2,8/25/2022,Total,2148,2022-08-25,d12-Chrysene,ng/L,NA,62
L01-731-1 (L08TBN2),8/25/2022,Total,2692,2022-08-25,d12-Chrysene,ng/L,NA,104
L02-166-3 (L02P26),8/25/2022,Total,2626,2022-08-25,d12-Chrysene,ng/L,NA,107
L05-489-3,9/6/2022,Total,3524,2022-09-06,d12-Chrysene,ng/L,NA,69
L05-049-1,9/6/2022,Total,2843,2022-09-06,d12-Chrysene,ng/L,NA,94
L02-374-1 (L02P50),9/6/2022,Total,3644,2022-09-06,d12-Chrysene,ng/L,NA,95
L05-503-1,9/6/2022,Total,4029.2,2022-09-06,d12-Chrysene,ng/L,NA,94
L01-749-2,9/6/2022,Total,8458,2022-09-06,d12-Chrysene,ng/L,NA,90
L01-724-4 (L01P03),9/6/2022,Total,5109,2022-09-06,d12-Chrysene,ng/L,NA,92
L01-724-1 (L01S01),9/6/2022,Total,6362,2022-09-06,d12-Chrysene,ng/L,NA,87
L01-726-5,9/7/2022,Total,1165,2022-09-07,d12-Chrysene,ng/L,NA,93
L01-728-5 (L01-DP),9/7/2022,Total,1327,2022-09-07,d12-Chrysene,ng/L,NA,102
K01-12126-1 (K01S01),9/7/2022,Total,5061,2022-09-07,d12-Chrysene,ng/L,NA,92
K01-12159-2,9/7/2022,Total,4869,2022-09-07,d12-Chrysene,ng/L,NA,103
K01-12159-3,9/7/2022,Total,3633,2022-09-07,d12-Chrysene,ng/L,NA,92
I01-11010-1,9/7/2022,Total,6067.7,2022-09-07,d12-Chrysene,ng/L,NA,101
J01-9131-1 (J01P28),9/8/2022,Total,2648,2022-09-08,d12-Chrysene,ng/L,NA,94
J01-9992-1 (J01P27),8/9/2022,Total,3208,2022-08-09,d12-Chrysene,ng/L,NA,81
J01-9007-1 (J02P05),9/8/2022,Total,1929,2022-09-08,d12-Chrysene,ng/L,NA,80
M01-042-1 (M01S01),9/8/2022,Total,26921,2022-09-08,d12-Chrysene,ng/L,NA,49
M02-032-1,9/8/2022,Total,4246,2022-09-08,d12-Chrysene,ng/L,NA,73
SC1-2,9/8/2022,Total,11188,2022-09-08,d12-Chrysene,ng/L,NA,84
M02-085-1 (M02P06),9/8/2022,Total,9377,2022-09-08,d12-Chrysene,ng/L,NA,51
M02-085-2,9/8/2022,Total,3170,2022-09-08,d12-Chrysene,ng/L,NA,80
L04-266-5,6/14/2022,Total,3412,2022-06-14,d8-Naphthalene,ng/L,NA,71
I01-11343-2 (I02P18),6/14/2022,Total,2417,2022-06-14,d8-Naphthalene,ng/L,NA,75
L03-418-8,6/15/2022,Total,3205,2022-06-15,d8-Naphthalene,ng/L,NA,50
K01-12177-1 (K01P07),6/15/2022,Total,2416,2022-06-15,d8-Naphthalene,ng/L,NA,52
J03-9221-1 (J03P02),6/15/2022,Total,5136,2022-06-15,d8-Naphthalene,ng/L,NA,52
J01-9224-1 (J01P24),6/15/2022,Total,2769,2022-06-15,d8-Naphthalene,ng/L,NA,54
J01-9224-2 (J01P25),6/15/2022,Total,2576,2022-06-15,d8-Naphthalene,ng/L,NA,45
L03-662-3 (L03P16),6/14/2022,Total,2551,2022-06-14,d8-Naphthalene,ng/L,NA,80
L03-214-2 (L03P18),6/14/2022,Total,3395,2022-06-14,d8-Naphthalene,ng/L,NA,67
